주택유형,조사아이디,serial no.
노원 EZ하우스,EZ001,V20T1805049
노원 EZ하우스,EZ002,V20T1805055
노원 EZ하우스,EZ003,V20T1805046
노원 EZ하우스,EZ004,V20T1805047
노원 EZ하우스,EZ005,V20T1805032
노원 EZ하우스,EZ006,V20T1805048
노원 EZ하우스,EZ007,V20T1805030
노원 EZ하우스,EZ008,V20T1805020
노원 EZ하우스,EZ009,V20T1805064
노원 EZ하우스,EZ010,V20T1805029
노원 EZ하우스,EZ011,V20T1805066
노원 EZ하우스,EZ012,V20T1805051
노원 EZ하우스,EZ013,V20T1805054
노원 EZ하우스,EZ014,V20T1805021
노원 EZ하우스,EZ015,V20T1805043
노원 EZ하우스,EZ016,V20T1805034
노원 EZ하우스,EZ017,V20T1805040
노원 EZ하우스,EZ018,V20T1805042
노원 EZ하우스,EZ019,V20T1805026
노원 EZ하우스,EZ020,V20T1805031
노원 EZ하우스,EZ021,V20T1805027
노원 EZ하우스,EZ022,V20T1805045
노원 EZ하우스,EZ023,V20T1805065
노원 EZ하우스,EZ024,V20T1805062
노원 EZ하우스,EZ025,V20T1805035
일반아파트,GP001,V20T1805053
일반아파트,GP002,V20T1805058
일반아파트,GP003,V20T1805028
일반아파트,GP004,V20T1805059
일반아파트,GP005,V20T1805039
일반아파트,GP006,V20T1805063
일반아파트,GP007,V20T1805050
일반아파트,GP008,V20T1805044
일반아파트,GP009,V20T1805036
일반아파트,GP010,V20T1805033
일반아파트,GP011,V20T1805067
일반아파트,GP012,V20T1805023
일반아파트,GP013,V20T1805057
일반아파트,GP014,V20T1805068
일반아파트,GP015,V20T1805019
일반아파트,GP016,V20T1805056
일반아파트,GP017,V20T1805022
일반아파트,GP018,V20T1805052
일반아파트,GP019,V20T1805041
일반아파트,GP020,V20T1805025
일반아파트,GP021,V20T1805024
일반아파트,GP022,V20T1805038
일반아파트,GP023,V20T1805061
일반아파트,GP024,V20T1805037
일반아파트,GP025,V20T1805060
